goos: darwin
goarch: arm64
pkg: rueidis-benchmark
cpu: Apple M1 Pro
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	     11089 ns/op	     285 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	     11044 ns/op	     285 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	     11156 ns/op	     285 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	     11037 ns/op	     285 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	     11071 ns/op	     285 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	     11036 ns/op	     285 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	     11089 ns/op	     285 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	     11069 ns/op	     285 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	     10999 ns/op	     285 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	     11085 ns/op	     285 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	     10959 ns/op	     493 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	     10877 ns/op	     493 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	     11002 ns/op	     493 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	     10793 ns/op	     493 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	     10925 ns/op	     493 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	     10994 ns/op	     493 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	     10949 ns/op	     493 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	     10861 ns/op	     493 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	     10841 ns/op	     493 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	     10980 ns/op	     493 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	      7986 ns/op	     293 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	      8027 ns/op	     293 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	      7895 ns/op	     293 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	      8063 ns/op	     293 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	      7851 ns/op	     293 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	      7943 ns/op	     293 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	      7942 ns/op	     293 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	      8112 ns/op	     293 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	      8059 ns/op	     293 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	      7877 ns/op	     293 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	      8182 ns/op	     501 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	      8206 ns/op	     501 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	      8207 ns/op	     501 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	      8248 ns/op	     501 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	      8215 ns/op	     501 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	      8229 ns/op	     501 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	      8155 ns/op	     501 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	      8067 ns/op	     501 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	      8113 ns/op	     501 B/op	       8 allocs/op
