goos: darwin
goarch: arm64
pkg: rueidis-benchmark
cpu: Apple M1 Pro
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	       179.5 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	       150.8 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	       157.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	       159.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	       156.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	       157.0 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	       152.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	       156.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	       161.7 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	       154.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	       153.6 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	       150.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	       156.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	       159.0 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	       154.0 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	       156.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	       153.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	       154.7 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	       152.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	       146.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	       156.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	       161.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	       158.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	       155.5 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	       154.6 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	       156.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	       153.5 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	       153.6 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	       153.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	       154.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	       155.5 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	       152.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	       157.7 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	       159.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	       159.6 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	       152.7 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	       160.6 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	       156.0 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	       154.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	       146.8 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       150.8 ns/op	       2 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       161.9 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       152.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       155.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       153.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       161.6 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       154.0 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       158.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       157.0 ns/op	       1 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       156.6 ns/op	       0 B/op	       0 allocs/op
