goos: darwin
goarch: arm64
pkg: rueidis-benchmark
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	      5657 ns/op	     269 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	      5382 ns/op	     269 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	      6335 ns/op	     269 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	      5893 ns/op	     269 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	      5601 ns/op	     269 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	      4725 ns/op	     269 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	      5002 ns/op	     269 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	      4731 ns/op	     269 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	      4675 ns/op	     269 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	      6028 ns/op	     269 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	      5785 ns/op	     477 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	      5974 ns/op	     477 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	      5377 ns/op	     477 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	      6089 ns/op	     477 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	      6011 ns/op	     477 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	      5747 ns/op	     477 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	      4780 ns/op	     477 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	      5670 ns/op	     477 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	      6237 ns/op	     477 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	      5589 ns/op	     477 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(1024)-10       	  100000	      5507 ns/op	    1341 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(1024)-10       	  100000	      4867 ns/op	    1341 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(1024)-10       	  100000	      5536 ns/op	    1341 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(1024)-10       	  100000	      5505 ns/op	    1341 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(1024)-10       	  100000	      5307 ns/op	    1341 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(1024)-10       	  100000	      5950 ns/op	    1341 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(1024)-10       	  100000	      6099 ns/op	    1341 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(1024)-10       	  100000	      5486 ns/op	    1341 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(1024)-10       	  100000	      4891 ns/op	    1341 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(1024)-10       	  100000	      4917 ns/op	    1341 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	      5429 ns/op	     276 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	      6083 ns/op	     277 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	      6011 ns/op	     276 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	      5517 ns/op	     276 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	      5170 ns/op	     276 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	      5222 ns/op	     276 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	      5103 ns/op	     276 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	      5848 ns/op	     276 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	      5041 ns/op	     276 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	      5326 ns/op	     276 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	      5290 ns/op	     484 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	      5502 ns/op	     484 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	      5824 ns/op	     484 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	      5813 ns/op	     484 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	      5505 ns/op	     484 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	      5115 ns/op	     484 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	      6554 ns/op	     484 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	      5267 ns/op	     484 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	      4949 ns/op	     484 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	      6593 ns/op	     484 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	      6868 ns/op	    1349 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	      6446 ns/op	    1348 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	      5692 ns/op	    1349 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	      6207 ns/op	    1348 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	      5459 ns/op	    1349 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	      5680 ns/op	    1349 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	      6604 ns/op	    1348 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	      6101 ns/op	    1349 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	      6246 ns/op	    1349 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	      6149 ns/op	    1349 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	      5666 ns/op	     283 B/op	       8 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	      6214 ns/op	     281 B/op	       8 allocs/op
