goos: darwin
goarch: arm64
pkg: rueidis-benchmark
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	      3250 ns/op	      64 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	      3045 ns/op	      64 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	      3085 ns/op	      64 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	      3057 ns/op	      64 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	      3136 ns/op	      64 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	      3114 ns/op	      64 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	      3058 ns/op	      64 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	      3066 ns/op	      64 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	      3097 ns/op	      64 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	      3047 ns/op	      64 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	      3109 ns/op	     256 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	      3138 ns/op	     256 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	      3124 ns/op	     256 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	      3108 ns/op	     256 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	      3124 ns/op	     256 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	      3139 ns/op	     256 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	      3125 ns/op	     256 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	      3119 ns/op	     256 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	      3143 ns/op	     256 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	      3141 ns/op	     256 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(1024)-10       	  100000	      3399 ns/op	    1024 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(1024)-10       	  100000	      3333 ns/op	    1024 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(1024)-10       	  100000	      3284 ns/op	    1024 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(1024)-10       	  100000	      3315 ns/op	    1024 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(1024)-10       	  100000	      3320 ns/op	    1024 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(1024)-10       	  100000	      3320 ns/op	    1024 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(1024)-10       	  100000	      3311 ns/op	    1024 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(1024)-10       	  100000	      3325 ns/op	    1024 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(1024)-10       	  100000	      3308 ns/op	    1024 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(1024)-10       	  100000	      3341 ns/op	    1024 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	       723.9 ns/op	      64 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	       746.6 ns/op	      64 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	       713.5 ns/op	      64 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	       718.8 ns/op	      64 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	       736.1 ns/op	      64 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	       718.2 ns/op	      64 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	       720.2 ns/op	      64 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	       716.4 ns/op	      64 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	       722.7 ns/op	      64 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(64)-10         	  100000	       710.3 ns/op	      64 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	       759.5 ns/op	     256 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	       768.7 ns/op	     256 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	       757.8 ns/op	     256 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	       784.6 ns/op	     256 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	       762.4 ns/op	     256 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	       920.5 ns/op	     256 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	       878.6 ns/op	     256 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	       761.2 ns/op	     256 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	       756.4 ns/op	     256 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(256)-10        	  100000	       760.3 ns/op	     256 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	      1008 ns/op	    1024 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	       960.7 ns/op	    1024 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	      1017 ns/op	    1024 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	      1222 ns/op	    1024 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	       999.0 ns/op	    1024 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	      1039 ns/op	    1024 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	       952.4 ns/op	    1024 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	       965.0 ns/op	    1024 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	       955.0 ns/op	    1024 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(8)-key(16)-val(1024)-10       	  100000	      1036 ns/op	    1024 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       501.5 ns/op	      66 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       490.8 ns/op	      65 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       446.8 ns/op	      65 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       472.8 ns/op	      65 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       458.4 ns/op	      65 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       534.8 ns/op	      65 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       491.7 ns/op	      65 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       461.4 ns/op	      65 B/op	       1 allocs/op
Benchmark/OneNode/Get-parall(64)-key(16)-val(64)-10        	  100000	       461.1 ns/op	      65 B/op	       1 allocs/op
