goos: darwin
goarch: arm64
pkg: rueidis-benchmark
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	        96.48 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	       162.5 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	       156.8 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	       153.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	       147.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	       151.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	       150.7 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	       151.8 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	       151.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(64)-10         	  100000	       147.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	       149.0 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	       149.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	       131.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	       148.5 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	       143.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	       151.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	       148.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	       167.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	       152.0 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(256)-10        	  100000	       155.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(1024)-10       	  100000	       146.5 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(1024)-10       	  100000	       148.7 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(1024)-10       	  100000	       153.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(1024)-10       	  100000	       153.5 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Get-parall(1)-key(16)-val(1024)-10       	  100000	       153.5 ns/op	       0 B/op	       0 allocs/op
