goos: darwin
goarch: arm64
pkg: rueidis-benchmark
cpu: Apple M1 Pro
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	     11104 ns/op	     273 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	     10939 ns/op	     273 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	     10929 ns/op	     273 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	     11001 ns/op	     273 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	     11064 ns/op	     273 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	     11086 ns/op	     273 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	     10983 ns/op	     273 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	     10999 ns/op	     273 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	     10987 ns/op	     273 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	     10945 ns/op	     273 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	     11592 ns/op	     273 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	     11092 ns/op	     273 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	     11210 ns/op	     273 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	     11235 ns/op	     273 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	     11125 ns/op	     273 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	     11116 ns/op	     273 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	     11056 ns/op	     273 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	     11217 ns/op	     273 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	     11206 ns/op	     273 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	     11229 ns/op	     273 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(64)-10         	  100000	      8095 ns/op	     281 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(64)-10         	  100000	      8066 ns/op	     281 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(64)-10         	  100000	      7921 ns/op	     281 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(64)-10         	  100000	      8069 ns/op	     281 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(64)-10         	  100000	      7983 ns/op	     281 B/op	       9 allocs/op
