goos: darwin
goarch: arm64
pkg: rueidis-benchmark
cpu: Apple M1 Pro
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      8766 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      8663 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      8616 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      8638 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      8614 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      8662 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      8623 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      8631 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      8640 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      8667 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      8855 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      8814 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      8831 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      8867 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      8844 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      8865 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      8836 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      8607 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      8498 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      8833 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(64)-10         	  100000	      4730 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(64)-10         	  100000	      4721 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(64)-10         	  100000	      4663 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(64)-10         	  100000	      4666 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(64)-10         	  100000	      4767 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(64)-10         	  100000	      4658 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(64)-10         	  100000	      4653 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(64)-10         	  100000	      4755 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(64)-10         	  100000	      4713 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(64)-10         	  100000	      4762 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(256)-10        	  100000	      4866 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(256)-10        	  100000	      4992 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(256)-10        	  100000	      4957 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(256)-10        	  100000	      4894 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(256)-10        	  100000	      5000 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(256)-10        	  100000	      4892 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(256)-10        	  100000	      5015 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(256)-10        	  100000	      4931 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(256)-10        	  100000	      4999 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(256)-10        	  100000	      4901 ns/op	     156 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	      4764 ns/op	     160 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	      4702 ns/op	     157 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	      4787 ns/op	     157 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	      4677 ns/op	     157 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	      4709 ns/op	     157 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	      4739 ns/op	     157 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	      4804 ns/op	     157 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	      4792 ns/op	     157 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	      4772 ns/op	     157 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(64)-10        	  100000	      4700 ns/op	     157 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      4940 ns/op	     157 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      5013 ns/op	     157 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      5037 ns/op	     157 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      4980 ns/op	     157 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      5052 ns/op	     157 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      5028 ns/op	     157 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      4992 ns/op	     157 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      5032 ns/op	     157 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      4986 ns/op	     157 B/op	       6 allocs/op
Benchmark/OneNode/Set-parall(64)-key(16)-val(256)-10       	  100000	      5034 ns/op	     157 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	      9958 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	      9949 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	      9875 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	      9918 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	      9918 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	      9944 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	      9907 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	      9924 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	      9939 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	      9994 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	     10135 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	     10122 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	     10171 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	     10139 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	     10127 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	     10132 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	     10180 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	     10116 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	     10129 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	     10173 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(64)-10         	  100000	      6281 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(64)-10         	  100000	      6340 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(64)-10         	  100000	      6381 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(64)-10         	  100000	      6307 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(64)-10         	  100000	      6245 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(64)-10         	  100000	      6350 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(64)-10         	  100000	      6317 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(64)-10         	  100000	      6302 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(64)-10         	  100000	      6318 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(64)-10         	  100000	      6310 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(256)-10        	  100000	      6645 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(256)-10        	  100000	      6612 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(256)-10        	  100000	      6604 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(256)-10        	  100000	      6678 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(256)-10        	  100000	      6583 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(256)-10        	  100000	      6664 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(256)-10        	  100000	      6644 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(256)-10        	  100000	      6683 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(256)-10        	  100000	      6684 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(256)-10        	  100000	      6680 ns/op	     156 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(64)-10        	  100000	      6215 ns/op	     157 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(64)-10        	  100000	      6082 ns/op	     157 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(64)-10        	  100000	      6048 ns/op	     157 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(64)-10        	  100000	      6177 ns/op	     157 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(64)-10        	  100000	      6200 ns/op	     157 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(64)-10        	  100000	      6181 ns/op	     157 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(64)-10        	  100000	      6117 ns/op	     157 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(64)-10        	  100000	      6146 ns/op	     157 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(64)-10        	  100000	      5986 ns/op	     157 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(64)-10        	  100000	      6167 ns/op	     157 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(256)-10       	  100000	      6357 ns/op	     157 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(256)-10       	  100000	      6504 ns/op	     157 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(256)-10       	  100000	      6544 ns/op	     157 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(256)-10       	  100000	      6455 ns/op	     157 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(256)-10       	  100000	      6588 ns/op	     157 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(256)-10       	  100000	      6487 ns/op	     157 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(256)-10       	  100000	      6432 ns/op	     157 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(256)-10       	  100000	      6596 ns/op	     157 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(256)-10       	  100000	      6609 ns/op	     157 B/op	       6 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(256)-10       	  100000	      6422 ns/op	     157 B/op	       6 allocs/op
PASS
ok  	rueidis-benchmark	83.119s
