goos: darwin
goarch: arm64
pkg: rueidis-benchmark
cpu: Apple M1 Pro
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      5591 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      5578 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      5667 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      5645 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      5513 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      5563 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      5562 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      5484 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      5592 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      5603 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      5768 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      5688 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      5723 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      5739 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      5811 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      5742 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      5711 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      5784 ns/op	       0 B/op	       0 allocs/op
