goos: darwin
goarch: arm64
pkg: rueidis-benchmark
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      5612 ns/op	     257 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      5431 ns/op	     257 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      5460 ns/op	     257 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      6356 ns/op	     257 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      6325 ns/op	     257 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      6008 ns/op	     257 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      5368 ns/op	     257 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      5382 ns/op	     257 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      5367 ns/op	     257 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      6037 ns/op	     257 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      5457 ns/op	     257 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      5444 ns/op	     257 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      5435 ns/op	     257 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      5461 ns/op	     257 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      5669 ns/op	     257 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      5444 ns/op	     257 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      5453 ns/op	     257 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      5436 ns/op	     257 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      5458 ns/op	     257 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      6108 ns/op	     257 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(1024)-10       	  100000	      6168 ns/op	     257 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(1024)-10       	  100000	      5669 ns/op	     257 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(1024)-10       	  100000	      5517 ns/op	     257 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(1024)-10       	  100000	      5734 ns/op	     256 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(1024)-10       	  100000	      5542 ns/op	     257 B/op	       9 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(1024)-10       	  100000	      5554 ns/op	     257 B/op	       9 allocs/op
