goos: darwin
goarch: arm64
pkg: rueidis-benchmark
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      3559 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      3338 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      3367 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      3353 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      3341 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      3411 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      3327 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      3346 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      3330 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(64)-10         	  100000	      3326 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      3353 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      3380 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      3379 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      3380 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      3356 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      3376 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      3363 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      3358 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      3378 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(256)-10        	  100000	      3425 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(1024)-10       	  100000	      3442 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(1024)-10       	  100000	      3432 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(1024)-10       	  100000	      3419 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(1024)-10       	  100000	      3406 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(1024)-10       	  100000	      3415 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(1024)-10       	  100000	      3431 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(1024)-10       	  100000	      3430 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(1024)-10       	  100000	      3444 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(1024)-10       	  100000	      3429 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(1)-key(16)-val(1024)-10       	  100000	      3446 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(64)-10         	  100000	      1067 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(64)-10         	  100000	      1089 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(64)-10         	  100000	      1064 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(64)-10         	  100000	      1065 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(64)-10         	  100000	      1061 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(64)-10         	  100000	      1067 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(64)-10         	  100000	      1070 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(64)-10         	  100000	      1069 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(64)-10         	  100000	      1071 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(64)-10         	  100000	      1061 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(256)-10        	  100000	      1123 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(256)-10        	  100000	      1123 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(256)-10        	  100000	      1118 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(256)-10        	  100000	      1203 ns/op	       0 B/op	       0 allocs/op
Benchmark/OneNode/Set-parall(8)-key(16)-val(256)-10        	  100000	      1163 ns/op	       0 B/op	       0 allocs/op
